고유번호,언어,상호명,콘텐츠URL,주소,신주소,전화번호,팩스번호,웹사이트,운영시간,운영요일,휴무일,교통정보,태그,장애인편의시설
45530,en,Choong Ang High School,https://english.visitseoul.net/attractions/ChoongAngHighSchool/ENPgcblme?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENPgcblme," 1, Gye-dong, Jongno-gu, Seoul, Korea ","03051 164 Changdeokgung-gil, Jongno-gu, Seoul ",-1983,,https://choongang.sen.hs.kr/index.do,,,,"Subway Line 3  Anguk Station  Exit 3,  713m"," Jongno, History, WinterSonata,ChoongAngHighSchool",
45535,en,Choong Ang Store,https://english.visitseoul.net/attractions/ChoongAngStore/ENPl7gype?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENPl7gype," 2-105, Gye-dong, Jongno-gu, Seoul, Korea ","03051 162 Changdeokgung-gil, Jongno-gu, Seoul ",,,,,,,"Subway Line 3, Anguk Station, Exit 3,  715m"," Jongno,Hallyu,ChoongAngStore",
23982,en,Choonwondang Museum of Korean Medicine,https://english.visitseoul.net/attractions/Choonwondang-Museum-of-Korean-Medicine/ENP002637?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENP002637,"110-320 154, Nagwon-dong, Jongno-gu, Seoul ","03139 27, Donhwamun-ro 9-gil, Jongno-gu, Seoul ",-5597,,http://cwdmuseum.com/,Mondays-Fridays 09:00 - 18:00 (KST) Saturdays 09:00 - 13:00 (KST),,Closed Sundays & national holidays,"Subway Lines 1/3/5, Jongno 3(sam)-ga Station  Exit 5,  186m  ","Jongno,ChoonwondangMuseumOfKoreanMedicine,Hanbang,History,OrientalMedicine,Tradition,Jongno3(sam)GaStation,Medicine,Museum,KoreanMedicine",
49291,en,Euljiro 3-ga Station Luggage Storage,https://english.visitseoul.net/attractions/LuggageStorage12/ENPhp6fgz?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENPhp6fgz, 서울 중구 을지로3가 347-3 ,"04550 347-3 Euljiro 3-ga, Jung-gu, Seoul ",,,,,,,,Euljiro 3-ga Station Luggage Storage,
27889,zh-TW,Gawon工房,https://tchinese.visitseoul.net/attractions/佳圓工坊/TCP027812?utm_source=seoulopendata&utm_medium=attractions&utm_content=TCP027812, 首爾市鐘路區奉益洞23號 ,03138 鐘路區敦化門路6na街45 ,-984,,http://www.gawoncraft.co.kr/,週一至週五 10:30 - 18:30,平日,週末,"地鐵 1/3/5號線  鍾路3街站  8號出口,  54m"," 傳統 , 鍾路 , 鍾路貴金屬街 , 鍾路, 玉工藝 , 工坊 ,老店",
11988,zh-CN, 瑞草游客服?中心,https://chinese.visitseoul.net/attractions/瑞草旅游信息中心/CNP011988?utm_source=seoulopendata&utm_medium=attractions&utm_content=CNP011988,137-070 首?瑞草?瑞草洞1318-7 ,137-070 首?特?市瑞草?瑞草洞 1318-7 ,-7116,,https://tiac.or.kr/lang_zh/,10:00 ~ 19:00   ※ ????可能?根据具?情??行?整，春?及中秋?假期?停??,,中秋、春??天,"地?2?? /新盆唐?  江南站 9?出口,  60m",瑞草旅游信息中心，多元文化空?，文化,
27547,en,Dol Record,https://english.visitseoul.net/attractions/Dol-Record/ENP027472?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENP027472," 41 Hwanghak-dong, Jung-gu, Seoul ","04571 49-29 Majang-ro 9-gil, Jung-gu, Seoul ",-9285,,,10:00~21:00,Every day,None,"Subway Line 1/6   Dongmyo Station  Exit 5,  400m","record, LD,CD,OraeGage, tape, used, LP",
42479,zh-TW,Ham's Brot零食店,https://tchinese.visitseoul.net/attractions/百年老店-HAMs-BROT/TCP042375?utm_source=seoulopendata&utm_medium=attractions&utm_content=TCP042375,  ,01443 首爾市道奉區道峰路483 ,-5404,,,週一至週六 09:00 ~ 21:40 週日 11:00~18:00,每天,節假日當天,"地鐵4號線 雙門站 4號出口,  15m  ","名匠, 雙門站, ?包紙巡禮, 花束蛋?, ?點, ?包,老店,蛋?",
15338,ko,1898 명동성당 ,https://korean.visitseoul.net/attractions/1898-명동성당/KOP015338?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP015338,100-809 서울 중구 명동2가 1-1 ,"04537 서울 중구 명동길 74 (명동2가, 명동성당) ",02-727-2332,,https://1898.catholic.or.kr/plaza.asp,09:00~22:00,,"설날, 추석 당일 (성당사무실: 월요일 휴무)","지하철 2/3호선 을지로 3가역 12번 출구,  403m 지하철 4호선 명동역 10번 출구,  425m","성당,복합문화공간,명동나들이,명동대성당,명동, 1898광장, 고딕",
45520,en,Baekyang Laundry,https://english.visitseoul.net/attractions/Baekyang-2024/ENP8onuvv?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENP8onuvv," 140-24, Gye-dong, Jongno-gu, Seoul, Korea ","03057 54 Gyedong-gil, Jongno-gu, Seoul ",-1943,,,,,,"Subway Line 3, Anguk Station, Exit 3,  332m","Jongro,BaekyangLaundry",
