분류,자치구,공연/행사명,날짜,장소,기관명,이용대상,이용요금,문의,출연자정보,프로그램소개,기타내용,홈페이지?주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류,경도(Y좌표),위도(X좌표),유무료,문화포털상세URL,행사시간
전시/미술,강남구,2026 핸드아티코리아,2026-08-13~2026-08-16,코엑스전시장 B홀,기타,누구나,"정가 15,000원",02-6121-6233,,,,https://handarty.co.kr/coex/visitors/guide/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8dd93ec4c4874b809cf11b6fa5f4b6e8&thumb=Y,2026-02-06,시민,00:00.0,00:00.0,기타,127.059159,37.51182391,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=156698&menuNo=200009,10:00 ~ 18:00 (입장마감 17:30)
전시/미술,강남구,서울일러스트레이션페어V.21,2026-07-30~2026-08-02,서울 코엑스 C홀,기타,누구나,"성인 : 15,000원 / 청소년 : 9,000원",070-7682-6720,,,,https://www.ocreo.kr/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=58458ce3d82141a4bf0e8e612233a372&thumb=Y,2026-04-24,시민,00:00.0,00:00.0,기타,127.059159,37.51182391,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157622&menuNo=200009,10:00 ~ 18:00 *입장마감: 전시 관람 종료 1시간 전
전시/미술,강남구,해외바이어가 직접 찾는 글로벌 전시회 [2026 인터참코리아] InterCHARM Korea,2026-07-01~2026-07-03,"코엑스 A홀, C홀 ",기타,뷰티산업 종사자,"현장등록: 20,000원 (사전 등록 시, 무료 입장 가능)",070-5095-9904 / 9903,,,,https://www.intercharmkorea.com/ko-kr.html,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5f2a4e2e793e49b987e5902a6e58cdf7&thumb=Y,2026-01-20,시민,00:00.0,00:00.0,기타,127.059159,37.51182391,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=156571&menuNo=200009,10:00~17:00
클래식,강남구,[GS아트센터] 양인모 X 김치앤칩스,2026-06-30~2026-06-30,GS아트센터,기타,7세 이상 (2019년생 포함 이전 출생자),"R 11만원, S 8만원, A 5만원",02-2005-0101,,,,https://www.gsartscenter.com/program/detail/634,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=344dc2e128c94b82977c28aab4a1381d&thumb=Y,2026-02-12,시민,00:00.0,00:00.0,기타,127.0373364,37.50199493,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=156772&menuNo=200008,19:30
무용,강남구,[GS아트센터] NDT 1 - 필름 스크리닝 [미스트],2026-06-28~2026-06-28,GS아트센터,기타,14세 이상 (2012년생 포함 이전 출생자),"전석 20,000",02-2005-0101,,,,https://www.gsartscenter.com/program/detail/595,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d3b7aaac258d4d63b74178084bc4bb88&thumb=Y,2026-02-12,시민,00:00.0,00:00.0,기타,127.0373364,37.50199493,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=156774&menuNo=200008,17:00
무용,강남구,[GS아트센터] 다미앵 잘레 X 코헤이 나와 [프리즘],2026-06-28~2026-06-28,GS아트센터,기타,14세 이상 (2012년생 포함 이전 출생자),"전석 50,000원",02-2005-0101,,,,https://www.gsartscenter.com/program/detail/562,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7ad9d266674546dfa5fcdeb47fc42b02&thumb=Y,2026-02-12,시민,00:00.0,00:00.0,기타,127.0373364,37.50199493,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=156773&menuNo=200008,15:00 / 19:00
국악,관악구,[관악문화재단] 음악공장 노올량 [플레이리스트 : 세대별 아리랑],2026-06-27~2026-06-27,관악아트홀 공연장,관악문화재단,누구나,"15,000원",02-828-5853,음악공장 노올량,여러지역에 전승되는 아리랑을 모티프로 다양한 고민과 사유를 담아 각 세대가 즐겨듣는 대중음악 스타일로 재해석낸 무대를 만나보세요!,,https://gfac.or.kr/site/main/performance/PERFORMANCE/view/313,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=264e220c83bc49a292d54dd9adde57ef&thumb=Y,2026-05-07,기관,00:00.0,00:00.0,기타,126.9449624,37.46755336,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157768&menuNo=200008,16:00
연극,강북구,[서울문화예술교육센터 강북] 공연 '라이브씨어터' [단편소설극장],2026-06-26~2026-06-27,2층 예술당솔샘,서울문화재단,중등 1학년 이상 총 80명,,02-2105-2321,,,,https://www.sfac.or.kr/asa/edu/view.do?eduMstSeq=36839,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e37e6edcb88c497fabc1e219ad1e8758&thumb=Y,2026-04-30,기관,00:00.0,00:00.0,기타,127.0177222,37.61955517,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157704&menuNo=200008,1회차 6.26.(금) 19:30~20:50 / 2회차 6.27.(토) 14:00~15:20
무용,강남구,[다미앵 잘레 X 코헤이 나와] 플래닛 [방랑자],2026-06-24~2026-06-26,GS아트센터(역삼역),기타,14세 이상 (2012년 포함 이전 출생자) 누구나,"R석 8만원, S석 6만원, A석 4만원",02-2005-0101,,"시각예술과 무용이 하나로 응축된 압도적 황홀경  ？  다미앵 잘레 × 코헤이 나와 <플래닛(방랑자)>    6.24.(수)~6.26.(금) 19:30 / GS아트센터(역삼역)    거대한 우주 속 흔들리고 방랑하는 인간의 몸을,   마치 살아 움직이는 조각처럼 아름답고 강렬한 시각 연출로 표현한 작품     바람과 흙먼지, 빗방울, 안개, 빛과 어둠에 흔들리며 맞서는 이들   거대한 우주와 인간의 관계를 그 어디에서도 볼 수 없었던 아름다운 미장센으로 펼쳐 보인다. ",,https://www.gsartscenter.com/program/detail/548,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a1ca5a6b1d4745718603d4f7f7832175&thumb=Y,2026-04-28,시민,00:00.0,00:00.0,기타,127.0373364,37.50199493,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157653&menuNo=200008,"수, 목, 금 19:30"
클래식,마포구,[마포문화재단] 2026 MAC 모닝 콘서트 ＃4,2026-06-24~2026-06-24,마포아트센터 아트홀맥,마포문화재단,8세이상,"전석 20,000원","02-3274-8600 [문의1번] 평일 09:00-18:00 (토,일 공휴일 휴무)",,"품격 있는 하루를 여는 클래식, MAC 모닝 콘서트",,https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2634&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f56c06c4bae24a67b60617b310613d7c&thumb=Y,2026-04-15,기관,00:00.0,00:00.0,기타,126.9455338,37.54990609,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157457&menuNo=200008,(수) 11:00
